52949276779KARINE BESTOLETTI HELLAR BRUN 012
05410906078AGNALDO APASQUALOTO SQUIZZATO 099
17745389483JOAO LINARES ALFARO PELLIZARO 037
19636017153KAIO FRISTACHI GOMES BERSANTI 085
57041682021EMERSON VALDERRAMA JANANDILOI 084
08905262602BETUEL DORNELES SOLA MARTINEZ 074
01211747962JOAO DOMINGUEZ MAQUEDANS ADAM 083
59888261439SELENE MATT VICENTE RODRIGUES 000
81571322718SILVAN PAULOUSKI SPACORATELLA 058
36100576183ARLON AUBERTI GUILICHINI OCHI 055
53933530424AVELINA PULIDO DA TORRE ROSIN 083
25339021009ROGERIO SOLER MUNOZ RAVAGNANI 053
06826870619JOAO FUENTES MARTINEZ MANZANO 067
99562755438LUIZA ROSLER RODRIGUEZ MERINO 093
92308456043SANTINA BERTOLAZZI FERDINANDO 087
86207910342LUZIA ULIA GARCIA CARRIOCONDE 040
34690424677NONATO GRILLETTA BRANOZ BAGNO 079
38873938467ARQUIMEDES NISIUS VIARO ALHIM 032
85874517819ROMULO GOMEZ ORTEGA TROMBELLI 091
84672119642RUTH RINI ZERRA CARRILLO HITA 054
87378204766AQUINO LAZZARATO JAISOLA ZINI 014
08886540292RUTH USEIRA FRANCO ALBARRACIN 031
33392641421NAIANA BERNARDO CHEOCHIA RUIZ 032
22726866093MIKAELI PEREZ BELLO MARANDOLA 076
03820331110DEDI TRAZZI KLOSTER SCARANARI 070
49783852652DEDE BERRUNTI KRUGLOVA ABRAMO 029
22749874237RAYME RAMALHEIRO GAMEIRO PIHA 051
49020997296DACI DELLA PACE MONTE ARROYOS 081
08464151520JULIANA PLAZA BAILON GIANCOLA 023
89077782817KALITA DERKSENE GENARO GRASSO 062
96523835785WALLACE NITTA ARCHILLA ROMERA 078
24028010347DELONI MAZZEI SANCHEZ NAVARRO 097
73753058289VICENTINA SCHIEMAN BANGE SENA 080
89357527607JOAO HARUGI MOLEDO Y PORTELLA 027
03026443266JHENIFER MARTINEZ DE SAN MATO 020
30115187491ISABELLY CIORNICIAN S. MARTIN 013
66369860468TONI GOLI CHINCHILLA CARRILLO 083
17265298337IGOR MASELLI LIVIERO GONCALOS 006
91239817613KEVIN BORTOLETTO AZENHA BRUNI 078
84452455035MARCELE BALLESTERO Y GUTIEREZ 064
61596847924DIOMAR HAYASHI DESIRE PICCOLO 093
