03907106467ARQUIMEDES VILLARES FERNANDEZ 002
49792452869ROGER REGUEIRA RIO VERDE ROIZ 099
34232630155JOAO FAMPOGENINO VENCHIARETTI 013
42958579380JOSELITO GOTTARDI FARNEI NOTA 078
71036965307SELENA MARTINEZ SANCHEZ LANDI 072
51355435879REGINALDO ROBIN CASTRO GARCIA 013
70067661649VALQUIRIA ROVIEZZO NEDAMANSKY 063
82609869888ROSEANA SCORPIONI VISENTAINER 088
72158936218NAIARA LERAUX IACOMUZZI MERLO 085
98122997087IGOR LOPEZ FREILA BARGE GILIO 018
70392587650MAURO SABURO FLORES RODRIGUEZ 074
43385119049ISABELA CALDEIRA VIGNALI ONSE 004
74951332556RUTH KRUTZKI ANCILLOTE TERUEL 022
36992647760AQUINO BACCAGLINI SFERZA PACE 071
90223764413DEAN CAMET HERRERO GOMEZ BINI 014
22491967638DIOGO RABAL SANCHEZ REMBRANDT 041
53351119523GIDEON GUIDOLINI SORIA GARCIA 049
32193748467HANS RODRIGUES FERNANDES GOIA 081
89217012641GEANE MARCOS MAYER SGHIA PAPA 091
73349259909IGOR MAZZARO SEVILLA GONZALEZ 086
70818664297ISABELA VALDERRAMA JANANDILOI 029
19704396057ISABELLA FRAGA ALCHAPAR LOPEZ 013
45286543253MARISE DE SANTE DE FILIO TENA 052
16819449297ZACARIAS CIORNICIAN S. MARTIN 078
03726619262ERALDO SHIMOI CUMINATO MIRONI 050
00991752075RAMON CIRILO LOSSMAM JAQUETTO 083
18923869658JESSE MARCIANESI GEMENTE AZOL 037
90782782759LUZINETE KRUTZKI ZINDLEN DUCI 098
93785132810LAYANNA VALDERRAMA JANANDILOI 021
77634389852ISABELI PEDE HOHENRENTE FORTI 087
36983788047ISABEL MANZANARES PAOLAN EIJI 060
16611179376ROGERIO BALLESTERO Y GUTIEREZ 070
40526094626ZILDA PINHEIRO NAVARRO GALERA 035
13770728606VICENTE ZANELATO STORC GALBAM 056
87898564665JACKELINE SANTAMARIN MARTINEZ 018
20084260193KARINE PIAN TORRENTE TORRENTE 053
35543123866KAIRA HARDY MANZANO FERNANDEZ 084
98027287441LUIZA CASAS MINERVA SCHENFELD 099
81695856785DIOLINDA CIORNICIAN S. MARTIN 010
76877071391MAGNO PIEROTTI SERRATIN YEZZI 083
01535988448EVERARDO CIORNICIAN S. MARTIN 047
51125079312ARLON BACCANINI HORACIO MUCCI 071
13768222730JULIANA BALLESTERO Y GUTIEREZ 096
50310153463DIOMEDES TASARIOL VILAR PARRA 090
28281738596VICENTINA GUTIERREZ GUTIERREZ 044
95053453189KAIO PASQUALTO SEGURO SANCHEZ 073
62544258421RAMONA ALESTINO VERDERO MONTE 084
72811861001VALTER AMATO MARTINEZ GALACHE 006
